league,match,prediction_type,tip,date,odd
7.null,monaco - benfica,,,"Jan 1, 01:00.utc",1.1
8.null,feyenoord rotterdam - milan,,,"Jan 1, 01:00.utc",1.1
9.null,sporting - borussia dortmund,,,"Jan 1, 01:00.utc",1.1
10.null,sevilla - barcelona,,,"Jan 1, 01:00.utc",1.1
11.null,strasbourg - montpellier,,,"Jan 1, 01:00.utc",1.1
12.null,holstein kiel - vfl bochum,,,"Jan 1, 01:00.utc",1.1
13.null,cagliari - parma,,,"Jan 1, 01:00.utc",1.1
14.null,real madrid - atletico madrid,,,"Jan 1, 01:00.utc",1.1
15.null,nice - rc lens,,,"Jan 1, 01:00.utc",1.1
16.null,wolfsburg - leverkusen,,,"Jan 1, 01:00.utc",1.1
17.null,borussia dortmund - stuttgart,,,"Jan 1, 01:00.utc",1.1
18.null,mainz - augsburg,,,"Jan 1, 01:00.utc",1.1
19.null,freiburg - heidenheim,,,"Jan 1, 01:00.utc",1.1
20.null,hoffenheim - union berlin,,,"Jan 1, 01:00.utc",1.1
21.null,psg - monaco,,,"Jan 1, 01:00.utc",1.1
22.null,cagliari - lazio,,,"Jan 1, 01:00.utc",1.1
23.null,gaziantep fk - galatasaray istanbul,,,"Jan 1, 01:00.utc",1.1
24.null,psg - inter,,,"Jan 1, 01:00.utc",1.1
25.Superettan,Sandvikens IF - Varbergs BoIS,GG/NG,yes,"May 31, 13:00.utc",1.59
1. Deild,Leiknir Reykjav\u00edk - Knattspyrnudeild UMFG,Both Teams To Score,both teams to score - yes,"May 30, 19:15.utc",1.39
Division,Sligo Rovers FC - Saint Patrick\u00b4s Athletic FC,GG/NG,yes,"May 30, 18:45.utc",1.73
1. Deild,Fjolnir - I\u00ferottafelag Reykjavikur,Both Teams To Score,both teams to score - yes,"May 30, 18:30.utc",1.45
Lig,Kasimpasa Istanbul - Goztepe Izmir,GG/NG,yes,"May 30, 17:00.utc",1.38
Libertadore,Club Olimpia - San Antonio Bulo Bulo,GG/NG,yes,"May 29, 22:00.utc",1.74
deild,Alftanes - KH Hlidarendi,GG/NG,yes,"May 29, 19:15.utc",1.2
Urvalsdeild,Stjarnan - Knattspyrnufelag Reykjav\u00edkur,Both Teams To Score,both teams to score - yes,"May 29, 19:15.utc",1.25
League,Zed FC - Smouha SC,GG/NG,yes,"May 29, 17:00.utc",2.1
Jupiler Lea,Royal Antwerp - R. Charleroi,Both Teams To Score,both teams to score - yes,"May 29, 16:30.utc",1.6
League,Royal Antwerp FC - Royal Charleroi SC,GG/NG,yes,"May 29, 16:30.utc",1.6
deild,Fram Reykjavik - KA Akureyri,GG/NG,yes,"May 29, 16:15.utc",1.47
deild,Afturelding - Valur Reykjavik,GG/NG,yes,"May 29, 16:15.utc",1.39
Qualificat,Botev Vratsa - Pirin Blagoevgrad,Both Teams To Score,both teams to score - yes,"May 29, 16:00.utc",2.21
47.null,fc saburtalo tbilisi - fc gagra,,,"Jan 1, 01:00.utc",1.1
League,Wolaita Dicha SC - Ethio Electric,GG/NG,yes,"May 29, 15:00.utc",2.3
49.Kolmonen,Esbo Bollklubb - Nups,GG/NG,yes,"May 29, 13:00.utc",1.28
MLS,Austin - Real Salt Lake,Both Teams To Score,both teams to score - yes,"May 29, 00:30.utc",1.71
