Fixture ID,League,League Logo,League Flag,Home Team,Home Logo,Away Team,Away Logo,Home Score,Away Score
1400180,Premier League,https://media.api-sports.io/football/leagues/235.png,https://media.api-sports.io/flags/ru.svg,FC Sochi,https://media.api-sports.io/football/teams/2012.png,Spartak Moscow,https://media.api-sports.io/football/teams/558.png,,
1509264,Third League - Northeast,https://media.api-sports.io/football/leagues/175.png,https://media.api-sports.io/flags/bg.svg,Cherno more II,https://media.api-sports.io/football/teams/19891.png,Volov Shumen,https://media.api-sports.io/football/teams/8551.png,,
1526367,Friendlies Women,https://media.api-sports.io/football/leagues/666.png,,Switzerland U19 W,https://media.api-sports.io/football/teams/27196.png,Republic of Ireland U19 W,https://media.api-sports.io/football/teams/23603.png,,
1526368,Friendlies Women,https://media.api-sports.io/football/leagues/666.png,,Wales U19 W,https://media.api-sports.io/football/teams/27216.png,USA U19 W,https://media.api-sports.io/football/teams/27207.png,,
1526962,Friendlies Women,https://media.api-sports.io/football/leagues/666.png,,Cyprus W,https://media.api-sports.io/football/teams/16063.png,Faroe Islands W,https://media.api-sports.io/football/teams/1752.png,,
1526963,Friendlies Women,https://media.api-sports.io/football/leagues/666.png,,France U23 W,https://media.api-sports.io/football/teams/27110.png,England U23 W,https://media.api-sports.io/football/teams/27100.png,,
1423378,First League,https://media.api-sports.io/football/leagues/371.png,https://media.api-sports.io/flags/mk.svg,Shkendija,https://media.api-sports.io/football/teams/609.png,Pelister,https://media.api-sports.io/football/teams/693.png,,
1434101,Professional Development League,https://media.api-sports.io/football/leagues/703.png,https://media.api-sports.io/flags/gb-eng.svg,Crewe Alexandra U21,https://media.api-sports.io/football/teams/20093.png,Wigan Athletic U21,https://media.api-sports.io/football/teams/20097.png,,
1457668,Ligi kuu Bara,https://media.api-sports.io/football/leagues/567.png,https://media.api-sports.io/flags/tz.svg,Singida Black Stars,https://media.api-sports.io/football/teams/24353.png,Coastal Union,https://media.api-sports.io/football/teams/12189.png,,
1477195,Ligi kuu Bara,https://media.api-sports.io/football/leagues/567.png,https://media.api-sports.io/flags/tz.svg,Pamba Jiji,https://media.api-sports.io/football/teams/24707.png,Azam,https://media.api-sports.io/football/teams/8057.png,,
1516254,Premier League,https://media.api-sports.io/football/leagues/585.png,https://media.api-sports.io/flags/ug.svg,Buhimba Saints,https://media.api-sports.io/football/teams/26672.png,KCCA,https://media.api-sports.io/football/teams/6422.png,,
1516255,Premier League,https://media.api-sports.io/football/leagues/585.png,https://media.api-sports.io/flags/ug.svg,Calvary,https://media.api-sports.io/football/teams/26673.png,SC Villa,https://media.api-sports.io/football/teams/12457.png,,
1470718,FKF Premier League,https://media.api-sports.io/football/leagues/276.png,https://media.api-sports.io/flags/ke.svg,Kariobangi Sharks,https://media.api-sports.io/football/teams/2468.png,Tusker,https://media.api-sports.io/football/teams/2475.png,,
1403770,Liga 1,https://media.api-sports.io/football/leagues/274.png,https://media.api-sports.io/flags/id.svg,Persebaya Surabaya,https://media.api-sports.io/football/teams/2446.png,Persib Bandung,https://media.api-sports.io/football/teams/2445.png,,
1403771,Liga 1,https://media.api-sports.io/football/leagues/274.png,https://media.api-sports.io/flags/id.svg,PSM Makassar,https://media.api-sports.io/football/teams/2441.png,Persita,https://media.api-sports.io/football/teams/4244.png,,
1451848,Second League,https://media.api-sports.io/football/leagues/173.png,https://media.api-sports.io/flags/bg.svg,Belasitsa,https://media.api-sports.io/football/teams/8540.png,CSKA Sofia II,https://media.api-sports.io/football/teams/1415.png,,
1434538,Premier League 2 Division One,https://media.api-sports.io/football/leagues/702.png,https://media.api-sports.io/flags/gb-eng.svg,Wolves U21,https://media.api-sports.io/football/teams/7204.png,Reading U21,https://media.api-sports.io/football/teams/11914.png,,
1504153,Friendlies Clubs,https://media.api-sports.io/football/leagues/667.png,,Sandefjord,https://media.api-sports.io/football/teams/332.png,Ranheim,https://media.api-sports.io/football/teams/322.png,,
1526369,Friendlies Women,https://media.api-sports.io/football/leagues/666.png,,Austria U19 W,https://media.api-sports.io/football/teams/21270.png,Finland U19 W,https://media.api-sports.io/football/teams/27107.png,,
1527522,Premier League,https://media.api-sports.io/football/leagues/569.png,https://media.api-sports.io/flags/kg.svg,Asiagoal,https://media.api-sports.io/football/teams/25764.png,Abdish-Ata,https://media.api-sports.io/football/teams/12234.png,,
1434108,Professional Development League,https://media.api-sports.io/football/leagues/703.png,https://media.api-sports.io/flags/gb-eng.svg,Sheffield United U21,https://media.api-sports.io/football/teams/20086.png,Sheffield Wednesday U21,https://media.api-sports.io/football/teams/20096.png,,
1446788,NPFL,https://media.api-sports.io/football/leagues/399.png,https://media.api-sports.io/flags/ng.svg,Barau FC,https://media.api-sports.io/football/teams/26400.png,Plateau United,https://media.api-sports.io/football/teams/5190.png,,
1467950,Campionato Primavera - 2,https://media.api-sports.io/football/leagues/706.png,https://media.api-sports.io/flags/it.svg,Perugia U19,https://media.api-sports.io/football/teams/17729.png,Ternana U19,https://media.api-sports.io/football/teams/17730.png,,
1479014,Division One League,https://media.api-sports.io/football/leagues/1196.png,https://media.api-sports.io/flags/gh.svg,Police National,https://media.api-sports.io/football/teams/26804.png,Skyy,https://media.api-sports.io/football/teams/21090.png,,
1385084,Super Liga,https://media.api-sports.io/football/leagues/286.png,https://media.api-sports.io/flags/rs.svg,IMT Novi Beograd,https://media.api-sports.io/football/teams/12316.png,Radnik Surdulica,https://media.api-sports.io/football/teams/2657.png,,
1451565,First League,https://media.api-sports.io/football/leagues/172.png,https://media.api-sports.io/flags/bg.svg,Ludogorets,https://media.api-sports.io/football/teams/566.png,Lokomotiv Plovdiv,https://media.api-sports.io/football/teams/858.png,,
1509062,Erovnuli Liga,https://media.api-sports.io/football/leagues/327.png,https://media.api-sports.io/flags/ge.svg,Gagra,https://media.api-sports.io/football/teams/3505.png,Samgurali,https://media.api-sports.io/football/teams/10017.png,,
1512827,Elite One,https://media.api-sports.io/football/leagues/411.png,https://media.api-sports.io/flags/cm.svg,Colombe,https://media.api-sports.io/football/teams/5400.png,Stade Renard,https://media.api-sports.io/football/teams/5410.png,,
